English,French
Is that a no?,Est-ce un non ?
"Am I talking to, Leslie?"," Est-ce que je parle, Leslie?"
Select booking, Sélectionnez la réservation
Why don't you get a job?,Pourquoi ne prenez-vous pas un emploi ?
We do not know her.,Nous ne la connaissons pas.
Goodbye.., Au revoir..
She is a selfish person.,Elle est une personne égoïste.
I need you for a second.,J'ai besoin de vous une seconde.
He usually comes in time.,Il vient d'ordinaire à l'heure.
I'm sorry for the confusion., Je suis désolé pour la confusion.
Tom is small.,Tom est petit.
You're not welcome here.,Vous n'êtes pas les bienvenus ici.
I'll accept suggestions.,J'accepterai les suggestions.
I'll be late for school!,Je vais être en retard à l'école !
I didn't hear her coming.,Je ne l'ai pas entendue arriver.
Why is everybody shouting?,Pourquoi est-ce que tout le monde hurle ?
Mary is not wearing a bra.,Marie ne porte pas de soutien-gorge.
I'll be back. :), Je reviendrai. :)
Thanks!, Merci!
You look just fine.,Tu as l'air juste comme il faut.
Talking to them now... , En leur parlant maintenant ...
She so wants to go.,Elle a tellement envie d'y aller.
I'm not happy here.,Je ne suis pas heureux ici.
"Okay, thank you for waiting "," D'accord, merci d'avoir attendu"
I got tired with the work.,Je suis devenu fatigué du travail.
Do you accept credit cards?,Acceptez-vous les cartes de crédits ?
"Thank you, I'll check that for you."," Merci, je vais vérifier cela pour vous."
Unlock the door.,Déverrouille la porte.
I can handle this.,Je sais m'y prendre.
I refuse.,Je le refuse.
Tom didn't have to hide.,Tom n'avait pas à se cacher.
I'll tell you afterwards.,Je vous le dirai après coup.
Hi. How can I help you today?, Salut. Comment puis-je vous aider aujourd'hui?
I paid in advance.,J'ai payé d'avance.
Verify Customer, Vérifier le client
I think we're going to win.,Je pense que nous allons gagner.
Hello are you still there?, Bonjour vous êtes toujours là?
Take what you need.,Prends ce dont tu as besoin.
"No worries, It was a pleasure!"," Pas de soucis, ce fut un plaisir!"
"Sure, I'll wait."," Bien sûr, je vais attendre."
Noted., C'est noté.
Still working on it., Travaille toujours dessus.
We're not convinced yet.,Nous n'en sommes pas encore convaincus.
It's personal.,C'est personnel.
They enjoyed themselves.,Elles se sont amusées.
Oil and water don't mix.,Le pétrole ne se mélange pas avec l'eau.
They found us.,Elles nous ont trouvées.
"""Ah"" is an interjection.","""Ah"" est une interjection."
We both want it.,Nous le voulons tous les deux.
Somebody laughed.,Quelqu'un rigola.
Many thanks.,Mille mercis.
Where did you hear that?,Où avez-vous entendu ça ?
Still there?, Toujours là?
God bless you!,Que Dieu te bénisse !
상담원 김희경입니다. , 상담원 김희경 입니다.
He's a bit naive.,Il est un peu niais.
Show canceled, Spectacle annulé
I'm real careful.,Je suis vraiment prudente.
I know that Tom is a jerk.,Je sais que Tom est un abruti.
Case ID is S-204605134., Le numéro d'identification de l'affaire est S-204605134.
Sure! Calling them now., Sûr! Je les appelle maintenant.
"Please bear with me, Nicketas."," S'il vous plaît, restez avec moi, Nicketas."
Give me 5 more minutes please., Donnez-moi 5 minutes de plus s'il vous plaît.
Let's go to Tom's.,Allons chez Tom.
I can't stand it anymore.,J'en peux plus !
Welcome back.,Sois de nouveau la bienvenue !
How many guards were there?,Combien de gardes y étaient ?
Shall I now proceed?, Dois-je maintenant procéder?
Why did Tom need to go?,Pourquoi Tom devait-il partir?
Elephants have long trunks.,Les éléphants ont une longue trompe.
Make me happy.,Rendez-moi heureux.
I couldn't let you do that.,Je ne pourrais pas te laisser faire ça.
Sounds good?, Ça m'a l'air bien?
We're all having lunch.,Nous sommes tous en train de déjeuner.
I don't know exactly where.,J'ignore exactement où.
I'm now your boss.,Je suis désormais ton supérieur.
May I go home?,Puis-je aller à la maison ?
0,zéro
I'd need 4-5 more min please., J'aurais besoin de 4-5 minutes de plus s'il vous plaît.
Verify Customer, Vérifier le client
Verify Customer, Vérifier le client
You think you're funny?,Tu penses être drôle ?
Please show me the list.,Montrez-moi la liste s'il vous plaît.
That's icky.,C'est collant.
Are you insured?,Es-tu assuré ?
Where did you learn that?,Où avez-vous appris cela ?
 How can I make your day better?, Comment puis-je améliorer votre journée?
Our school is 80 years old.,Notre école a 80 ans.
Tom rolled up his sleeves.,Tom retroussa ses manches.
And email sent, Et e-mail envoyé
I owe him a debt.,J'ai une dette envers lui.
That's my suitcase.,C'est ma valise.
Please ask someone else.,"Demande à quelqu'un d'autre, je te prie."
There was a winner.,Il y a eu un vainqueur.
He breathed deeply.,Il a profondément respiré.
I'm unbiased.,Je suis impartial.
I'm glad to see you here.,Je me réjouis de te voir ici.
Lightning can be dangerous.,Les éclairs peuvent être dangereux.
I just want to be near you.,Je veux simplement être auprès de vous.
Show canceled, Spectacle annulé
Have a great day ahead and take care. Goodbye! , Passez une bonne journée à venir et prenez soin de vous. Au revoir!
You are beautiful.,Vous êtes belles.
My mother was an alcoholic.,Ma mère était alcoolique.
I knew I was safe there.,Je savais que j'étais en sécurité là-bas.
Thank you for your time., Merci pour votre temps.
Let's just listen.,"Écoutons, simplement !"
"You're welcome, please hold on."," Je vous en prie, attendez."
Lightning struck his house.,La foudre a frappé sa maison.
Tom arrived safely.,Tom est arrivé en toute sécurité.
"Hello, are you still there?", Bonjour vous êtes toujours là?
You lied to Tom.,Tu as menti à Tom.
Did you enjoy the concert?,Est-ce que tu as apprécié le concert ?
"I'm sorry, I don't buy it.","Je suis désolée, je ne gobe pas ça."
I won't risk it.,Je ne vais pas le risquer.
I can't do that.,Je n'arrive pas à le faire.
I was at a job interview.,J'étais à un entretien d'embauche.
I asked you to be quiet.,Je t'ai demandé d'être silencieuse.
I know that Tom loves you.,Je sais que Tom t'aime.
You can't change the past.,Tu ne peux pas changer le passé.
It's a rough neighborhood.,C'est un quartier glauque.
I hate that thing.,Je hais cette chose.
They will be very glad.,Ils seront très heureux.
We can't trust anyone now.,Nous ne pouvons désormais plus nous fier à personne.
Clean your room.,Nettoyez votre chambre !
I'm correcting my mistakes.,Je corrige mes erreurs.
When do you study?,Quand étudiez-vous ?
Alright., Bien.
Tom understands the risks.,Tom comprend les risques.
Why does Tom want a horse?,Pourquoi Tom veut-il un cheval ?
Don't make this personal.,Ne le prends pas personnellement !
No worries., Pas de soucis.
We have no comment.,Nous n'avons aucun commentaire.
Stop*, Arrêtez*
Tom is an engineer.,Tom est ingénieur.
I feel safe.,Je me sens en sécurité.
He can run as fast as you.,Il peut courir aussi vite que toi.
Tom answered in French.,Tom a répondu en français.
Do you have other family?,Avez-vous quelque autre parent ?
That's illegal.,C'est illégal.
Are you still there?, Tu es encore la?
It was very disappointing.,Ce fut très décevant.
Tom said it was his fault.,Tom a dit que c'était sa faute.
Have a look.,Regarde !
I had two cups of coffee.,J'ai pris deux tasses de café.
Shouldn't we report this?,Ne devrions-nous pas reporter ceci ?
She gave it to him.,Elle la lui donna.
It's the cops!,Ce sont les flics !
Tom was fairly nervous.,Tom était assez nerveux.
Come whenever you want to.,Passe quand tu veux.
We considered that.,Nous avons songé à ça.
You are correct., Vous avez raison.
Cool. Please wait for me., Cool. Attendez moi s'il vous plait.
You're loaded.,T'es pleine de fric.
It's not a secret.,Ce n'est pas un secret.
I want you to handle it.,Je veux que vous vous en chargiez.
I know Tom better than you.,Je connais Tom mieux que je vous connais.
Is that a bat?,S'agit-il d'une chauve-souris ?
May I have the itinerary # please?, Puis-je avoir l'itinéraire # s'il vous plaît?
I understand., Je comprends.
Lets see., Voyons voir.
i want to cancel my property,je veux annuler ma propriété
This clock is electric.,Cette montre est électrique.
Yes , Oui
You're not a teenager yet.,Tu n'es pas encore adolescent.
Summer has come.,L'été est venu.
Are you still there?, Tu es encore la?
His eyes failed him.,Ses yeux l'ont trahi.
I dried my face.,Je me suis séché le visage.
"Hi, how may I help you?"," Bonjour, comment puis-je vous aider?"
You're the oldest.,Tu es la doyenne.
Does anyone have a match?,Est-ce que quelqu'un a une allumette ?
The meeting isn't over.,La réunion n'est pas terminée.
Are you there?, Êtes-vous là?
I just want you to be OK.,Je veux simplement que vous soyez bien.
"Thank you, for your patience.", Merci pour votre patience.
We were so worried.,Nous étions si inquiets.
"다만, 취소 영수증은 환불 접수 완료 시 발급이 가능합니다."," 다만, 취소 영수증 은 환불 접수 완료 시 발급 이 가능 합니다."
Our work is all over now.,Notre tâche est désormais achevée.
Do you know my name?,Connais-tu mon nom ?
Are you busy today?,Es-tu occupé aujourd'hui ?
No one knows that.,Personne ne sait cela.
Is all this money yours?,Tout cet argent est-il à toi ?
Thank you so much for waiting!, Merci beaucoup d'avoir attendu!
I've got a plan.,Je dispose d'un plan.
Tom likes them.,Tom les apprécie.
I'm so proud of my team.,Je suis si fière de mon équipe.
I owe my success to you.,Je te dois tout mon succès.
He works the night shift.,Il travaille en équipe de nuit.
Don't act like that.,N'agis pas ainsi.
"I really, really want this.","Vraiment, vraiment je veux ça."
He will defeat them.,Il les vaincra.
I have to take the chance.,Il me faut saisir l'opportunité.
Currently speaking with the property., Je parle actuellement avec la propriété.
You're welcome., De rien.
Turn around.,Faites demi-tour.
I hear you were grounded.,J'ai entendu dire que vous étiez échoué.
Thanks for chatting with us, Merci d'avoir discuté avec nous
No biggie!, Pas de biggie!
Look where you are going.,Regarde où tu vas.
He was knee deep in mud.,Il était dans la boue jusqu'aux genoux.
My friends are in danger.,Mes amis sont en danger.
Still there?, Toujours là?
That's not what it means.,Ce n'est pas ce que ça veut dire.
Are you still there?, Tu es encore la?
I'm humble.,Je suis humble.
"Get me a ticket, please.","Récupérez-moi un ticket, s'il vous plaît."
Stop being so nice.,Arrêtez d'être si gentils !
Just try it out.,Essaie-le juste!
Do what you want.,Faites ce que vous voulez.
Are they students?,Sont-ils étudiants ?
They'll try again.,Ils essayeront à nouveau.
Time is money.,"Le temps, c'est de l'argent."
I'm a little tired.,Je suis un peu fatigué.
I'm sick of it.,J'en suis malade.
I made it myself.,Je l'ai confectionné moi-même.
You can't keep me here.,Tu ne peux pas me garder ici.
Tom left me.,Tom m’a quitté.
I felt cheated.,Je me sentis trompé.
Watch the road.,Regardez la route !
Which one will you choose?,Lequel choisiras-tu ?
He appealed to us for help.,Il a fait appel à nous pour avoir de l'aide.
Who does your decorating?,Qui se charge de votre décoration ?
What choices do we have?,Quelles options avons-nous ?
I love kids.,J'adore les enfants.
Thank you for your letter.,Merci pour ta lettre.
He has a hat on.,Il porte un chapeau.
Don't give up hope.,Ne perdez pas espoir.
She was humiliated by him.,Elle fut humiliée par lui.
3478223227,3478223227
How would you translate it?,Comment le traduiriez-vous ?
How about your mobile #?, Et votre numéro de mobile?
I shouldn't worry.,Je ne devrais pas me faire de souci.
I'm not coming with you.,Je ne viens pas avec toi.
"Hello Yoonji, this is Erika."," Bonjour Yoonji, voici Erika."
I eat everything.,Je mange tout.
Anybody home?,Y a-t-il quelqu'un dans la maison ?
I see. , Je vois.
It's poison.,C'est du poison.
I had to stop.,Il me fallut arrêter.
Business is slow.,Les affaires n'avancent pas vite.
Sure. Please bear with me. ," Sûr. S'il vous plaît, supportez-moi."
Tom will remain.,Tom va rester.
That boy looks like you.,Ce garçon te ressemble.
Tom works a lot.,Tom travaille beaucoup.
I do not mind what you do.,Ce que vous faites ne me dérange pas.
No one can figure it out.,Personne n'arrive à le comprendre.
You're very clever.,Tu es très habile.
You're psyched.,T'es remontée.
Watch what you're doing.,Fais attention à ce que tu fais.
It's very low.,C'est très bas.
Tom likes to do that here.,Tom aime faire cela ici.
You're insane.,Tu es dingue.
I have no time to write.,Je n'ai pas de temps pour écrire.
You don't seem too sure.,Vous n'avez pas l'air trop sûr.
This will never change.,Ça ne changera jamais.
I'll be right back., Je reviens tout de suite.
I just couldn't stay away.,Je ne pouvais simplement pas me tenir à distance.
You've seen enough.,Tu en as assez vu.
